Stream Start,Stream End,Duration,Has Error,In Process,Asset Name,Service Type,VOD Pump,QAM,Service Group,MAC Address,Account #,Error Code,Event Category,Stream Type,Bitrate,Trick Plays
"05-May-2018 03:33:39 AM","05-May-2018 03:59:35 AM","0h 25m 56s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22004","00:00:03:A2:3A:1A","8245114581064992","1062","Not Assigned","V","12500000","11"
"05-May-2018 03:59:59 AM","05-May-2018 04:05:02 AM","0h 5m 3s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22004","00:00:03:A2:3A:1A","8245114581064992","1062","Not Assigned","V","12500000","11"
"05-May-2018 04:05:10 AM","05-May-2018 04:09:53 AM","0h 4m 43s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22004","00:00:03:A2:3A:1A","8245114581064992","1062","Not Assigned","V","12500000","7"
"05-May-2018 04:11:27 AM","05-May-2018 04:16:28 AM","0h 5m 1s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22004","00:00:03:A2:3A:1A","8245114581064992","1062","Not Assigned","V","12500000","16"
"05-May-2018 06:30:25 AM","05-May-2018 06:30:25 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36075","00:00:07:3D:45:87","8245114140172641","1062","Not Assigned","V","3120000","1"
"05-May-2018 06:30:30 AM","05-May-2018 06:30:30 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36075","00:00:07:3D:45:87","8245114140172641","1062","Not Assigned","V","3120000","1"
"05-May-2018 05:55:31 AM","05-May-2018 06:43:39 AM","0h 48m 8s","true","false","FindingNeverland HD","HHD","EauClaire1",,"euclwi-22091","00:00:03:8B:F9:03","8245114420326644","1062","Not Assigned","V","12500000","1"
"05-May-2018 07:54:58 AM","05-May-2018 07:54:58 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22064","00:00:04:D6:F3:91","8245114510047100","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:55:01 AM","05-May-2018 07:55:01 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22064","00:00:04:D6:F3:91","8245114510047100","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:55:08 AM","05-May-2018 07:55:08 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22064","00:00:04:D6:F3:91","8245114510047100","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:55:33 AM","05-May-2018 07:55:33 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22064","00:00:04:D6:F3:91","8245114510047100","1062","Not Assigned","V","3120000","1"
"05-May-2018 08:01:07 AM","05-May-2018 08:01:08 AM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36042","00:00:04:D2:51:B5","8245114140171023","1062","Not Assigned","V","3120000","1"
"05-May-2018 08:01:14 AM","05-May-2018 08:01:14 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36042","00:00:04:D2:51:B5","8245114140171023","1062","Not Assigned","V","3120000","1"
"05-May-2018 08:01:22 AM","05-May-2018 08:01:22 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36042","00:00:04:D2:51:B5","8245114140171023","1062","Not Assigned","V","3120000","1"
"05-May-2018 08:02:49 AM","05-May-2018 08:02:49 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36042","00:00:04:D2:51:B5","8245114140171023","1062","Not Assigned","V","3120000","1"
"05-May-2018 08:03:15 AM","05-May-2018 08:03:16 AM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36042","00:00:04:D2:51:B5","8245114140171023","1062","Not Assigned","V","3120000","1"
"05-May-2018 08:58:58 AM","05-May-2018 08:58:59 AM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22050","00:00:07:76:3C:FA","8245114590199524","1062","Not Assigned","V","3120000","1"
"05-May-2018 09:54:14 AM","05-May-2018 09:54:14 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36118","00:00:0A:9D:3F:52","8245115080005451","1062","Not Assigned","V","3120000","1"
"05-May-2018 09:54:25 AM","05-May-2018 09:54:26 AM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36118","00:00:0A:9D:3F:52","8245115080005451","1062","Not Assigned","V","3120000","1"
"05-May-2018 09:54:34 AM","05-May-2018 09:54:34 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36118","00:00:0A:9D:3F:52","8245115080005451","1062","Not Assigned","V","3120000","1"
"05-May-2018 10:02:00 AM","05-May-2018 10:02:01 AM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"rclkwi-39020","00:00:07:1C:6A:5D","8245114820049127","1062","Not Assigned","V","3120000","1"
"05-May-2018 10:26:28 AM","05-May-2018 10:33:05 AM","0h 6m 37s","true","false","The Chronicles of Narnia: Prince Caspian","STZOD","EauClaire1",,"rclkwi-39020","00:00:07:1C:6A:5D","8245114820049127","1062","Not Assigned","V","3120000","1"
"05-May-2018 11:13:32 AM","05-May-2018 11:13:32 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22065","00:00:05:30:25:5D","8245114581105985","1062","Not Assigned","V","3120000","1"
"05-May-2018 11:13:42 AM","05-May-2018 11:13:42 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22065","00:00:05:30:25:5D","8245114581105985","1062","Not Assigned","V","3120000","1"
"05-May-2018 11:14:54 AM","05-May-2018 11:14:54 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22065","00:00:05:30:25:5D","8245114581105985","1062","Not Assigned","V","3120000","1"
"05-May-2018 11:52:06 AM","05-May-2018 11:52:06 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36066","00:00:07:33:62:D0","8245114280883650","1062","Not Assigned","V","3120000","1"
"05-May-2018 11:52:34 AM","05-May-2018 11:52:34 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36066","00:00:07:33:62:D0","8245114280883650","1062","Not Assigned","V","3120000","1"
"05-May-2018 11:52:35 AM","05-May-2018 11:52:35 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36066","00:00:07:33:62:D0","8245114280883650","1062","Not Assigned","V","3120000","1"
"05-May-2018 11:52:36 AM","05-May-2018 11:52:36 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36066","00:00:07:33:62:D0","8245114280883650","1062","Not Assigned","V","3120000","1"
"05-May-2018 11:52:44 AM","05-May-2018 11:52:44 AM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36066","00:00:07:33:62:D0","8245114280883650","1062","Not Assigned","V","3120000","1"
"05-May-2018 11:01:47 AM","05-May-2018 11:59:10 AM","0h 57m 23s","true","false","That's My Boy","FOD","EauClaire1",,"euclwi-22089","00:00:04:C8:B8:03","8245114450016701","1062","Not Assigned","V","3120000","1"
"05-May-2018 11:42:49 AM","05-May-2018 12:03:41 PM","0h 20m 52s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22066","00:00:04:D8:1A:F7","8245114580154562","1062","Not Assigned","V","12500000","1"
"05-May-2018 12:11:33 PM","05-May-2018 12:11:33 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36097","00:00:01:33:76:0D","8245114280918324","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:15:53 PM","05-May-2018 01:15:53 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22080","00:00:04:D2:49:39","8245114480032645","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:15:59 PM","05-May-2018 01:15:59 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22080","00:00:04:D2:49:39","8245114480032645","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:16:09 PM","05-May-2018 01:16:09 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22080","00:00:04:D2:49:39","8245114480032645","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:16:18 PM","05-May-2018 01:16:18 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22080","00:00:04:D2:49:39","8245114480032645","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:16:22 PM","05-May-2018 01:16:22 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22080","00:00:04:D2:49:39","8245114480032645","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:16:26 PM","05-May-2018 01:16:26 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22080","00:00:04:D2:49:39","8245114480032645","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:10:07 PM","05-May-2018 01:16:55 PM","0h 6m 48s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22066","00:00:04:D8:1A:F7","8245114580154562","1062","Not Assigned","V","12500000","1"
"05-May-2018 01:17:11 PM","05-May-2018 01:18:11 PM","0h 1m 0s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22066","00:00:04:D8:1A:F7","8245114580154562","1062","Not Assigned","V","12500000","2"
"05-May-2018 01:19:00 PM","05-May-2018 01:19:00 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22080","00:00:04:D2:49:39","8245114480032645","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:19:08 PM","05-May-2018 01:19:09 PM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22080","00:00:04:D2:49:39","8245114480032645","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:18:28 PM","05-May-2018 01:19:11 PM","0h 0m 43s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22066","00:00:04:D8:1A:F7","8245114580154562","1062","Not Assigned","V","12500000","2"
"05-May-2018 01:24:27 PM","05-May-2018 01:24:27 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22019","00:00:06:A5:30:66","8245114581123681","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:43:41 PM","05-May-2018 01:43:41 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"rclkwi-39020","00:00:07:1E:0E:84","8245114820049820","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:43:45 PM","05-May-2018 01:43:45 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"rclkwi-39020","00:00:07:1E:0E:84","8245114820049820","1062","Not Assigned","V","3120000","1"
"05-May-2018 01:46:34 PM","05-May-2018 01:53:36 PM","0h 7m 2s","true","false","Million $ American Princess 102 HD","FHD","EauClaire1",,"euclwi-22003","00:00:05:1E:5E:18","8245114600031865","1062","Not Assigned","V","12500000","1"
"05-May-2018 01:53:09 PM","05-May-2018 01:53:51 PM","0h 0m 42s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22066","00:00:04:D8:1A:F7","8245114580154562","1062","Not Assigned","V","12500000","2"
"05-May-2018 01:53:55 PM","05-May-2018 01:54:53 PM","0h 0m 58s","true","false","Million $ American Princess 102 HD","FHD","EauClaire1",,"euclwi-22003","00:00:05:1E:5E:18","8245114600031865","1062","Not Assigned","V","12500000","2"
"05-May-2018 01:54:45 PM","05-May-2018 01:56:43 PM","0h 1m 58s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22066","00:00:04:D8:1A:F7","8245114580154562","1062","Not Assigned","V","12500000","2"
"05-May-2018 01:38:15 PM","05-May-2018 01:59:07 PM","0h 20m 52s","true","false","Patriots Day HD","SOD","EauClaire1",,"onlawi-36090","00:00:07:50:E4:ED","8245114280774776","1062","Not Assigned","V","12500000","1"
"05-May-2018 02:08:47 PM","05-May-2018 02:09:48 PM","0h 1m 1s","true","false","Million $ American Princess 102 HD","FHD","EauClaire1",,"euclwi-22003","00:00:05:1E:5E:18","8245114600031865","1062","Not Assigned","V","12500000","2"
"05-May-2018 01:59:50 PM","05-May-2018 02:20:42 PM","0h 20m 52s","true","false","Patriots Day HD","SOD","EauClaire1",,"onlawi-36090","00:00:07:50:E4:ED","8245114280774776","1062","Not Assigned","V","12500000","1"
"05-May-2018 02:53:02 PM","05-May-2018 03:12:53 PM","0h 19m 51s","true","false","Patriots Day HD","SOD","EauClaire1",,"onlawi-36021","00:00:04:A8:C3:15","8245114240009602","1062","Not Assigned","V","12500000","2"
"05-May-2018 03:13:09 PM","05-May-2018 03:17:32 PM","0h 4m 23s","true","false","Patriots Day HD","SOD","EauClaire1",,"onlawi-36021","00:00:04:A8:C3:15","8245114240009602","1062","Not Assigned","V","12500000","5"
"05-May-2018 03:35:17 PM","05-May-2018 03:35:17 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"asdlwi-12017","00:00:07:35:91:BF","8245115050015324","1062","Not Assigned","V","3120000","1"
"05-May-2018 03:35:29 PM","05-May-2018 03:35:29 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"asdlwi-12017","00:00:07:35:91:BF","8245115050015324","1062","Not Assigned","V","3120000","1"
"05-May-2018 03:35:40 PM","05-May-2018 03:35:40 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"asdlwi-12017","00:00:07:35:91:BF","8245115050015324","1062","Not Assigned","V","3120000","1"
"05-May-2018 03:36:03 PM","05-May-2018 03:36:03 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"asdlwi-12017","00:00:07:35:91:BF","8245115050015324","1062","Not Assigned","V","3120000","1"
"05-May-2018 04:01:39 PM","05-May-2018 04:15:13 PM","0h 13m 34s","true","false","RealHouseAt 1019 HD","FHD","EauClaire1",,"onlawi-36007","00:00:00:EE:F1:BD","8245114000119187","1062","Not Assigned","V","12500000","1"
"05-May-2018 04:15:20 PM","05-May-2018 04:15:20 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"hywrwi-28003","00:00:00:21:3F:75","8245114960038039","1062","Not Assigned","V","3120000","1"
"05-May-2018 04:22:53 PM","05-May-2018 04:25:01 PM","0h 2m 8s","true","false","Million $ American Princess 102 HD","FHD","EauClaire1",,"euclwi-22003","00:00:05:1E:5E:18","8245114600031865","1062","Not Assigned","V","12500000","3"
"05-May-2018 05:49:34 PM","05-May-2018 05:49:34 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"asdlwi-12014","00:00:07:44:6D:60","8245115020001271","1062","Not Assigned","V","3120000","1"
"05-May-2018 05:49:48 PM","05-May-2018 05:49:48 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"asdlwi-12014","00:00:07:44:6D:60","8245115020001271","1062","Not Assigned","V","3120000","1"
"05-May-2018 05:52:00 PM","05-May-2018 05:52:00 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"asdlwi-12014","00:00:07:44:6D:60","8245115020001271","1062","Not Assigned","V","3120000","1"
"05-May-2018 06:13:29 PM","05-May-2018 06:13:29 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"rclkwi-39019","00:00:05:42:C4:9B","8245114800166255","1062","Not Assigned","V","3120000","1"
"05-May-2018 06:02:41 PM","05-May-2018 06:52:34 PM","0h 49m 53s","true","false","FindingNeverland HD","HHD","EauClaire1",,"onlawi-36097","00:00:01:4F:F2:AE","8245114280474120","1062","Not Assigned","V","12500000","2"
"05-May-2018 06:33:34 PM","05-May-2018 06:54:26 PM","0h 20m 52s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22037","00:00:06:DF:C8:54","8245114590099468","1062","Not Assigned","V","12500000","1"
"05-May-2018 06:56:42 PM","05-May-2018 06:56:42 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22019","00:00:01:4F:BD:30","8245114580772413","1062","Not Assigned","V","3120000","1"
"05-May-2018 06:57:15 PM","05-May-2018 06:57:16 PM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22019","00:00:01:4F:BD:30","8245114580772413","1062","Not Assigned","V","3120000","1"
"05-May-2018 06:53:06 PM","05-May-2018 06:57:49 PM","0h 4m 43s","true","false","FindingNeverland HD","HHD","EauClaire1",,"onlawi-36097","00:00:01:4F:F2:AE","8245114280474120","1062","Not Assigned","V","12500000","7"
"05-May-2018 06:55:03 PM","05-May-2018 06:59:06 PM","0h 4m 3s","true","false","Patriots Day HD","SOD","EauClaire1",,"euclwi-22037","00:00:06:DF:C8:54","8245114590099468","1062","Not Assigned","V","12500000","4"
"05-May-2018 07:05:56 PM","05-May-2018 07:05:57 PM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22086","00:00:07:2C:A3:42","8245114420137603","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:06:02 PM","05-May-2018 07:06:02 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22086","00:00:07:2C:A3:42","8245114420137603","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:06:06 PM","05-May-2018 07:06:06 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22086","00:00:07:2C:A3:42","8245114420137603","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:06:36 PM","05-May-2018 07:06:36 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22086","00:00:07:2C:A3:42","8245114420137603","1062","Not Assigned","V","3120000","1"
"05-May-2018 06:59:41 PM","05-May-2018 07:07:13 PM","0h 7m 32s","true","false","Million $ American Princess 102 HD","FHD","EauClaire1",,"euclwi-22003","00:00:05:1E:5E:18","8245114600031865","1062","Not Assigned","V","12500000","4"
"05-May-2018 07:07:23 PM","05-May-2018 07:07:23 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22002","00:00:07:58:09:E4","8245114580982814","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:15:16 PM","05-May-2018 07:15:16 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22002","00:00:07:58:09:E4","8245114580982814","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:23:32 PM","05-May-2018 07:23:32 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22071","00:00:07:2F:02:89","8245114581084214","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:23:38 PM","05-May-2018 07:23:38 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22071","00:00:07:2F:02:89","8245114581084214","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:23:40 PM","05-May-2018 07:23:40 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22071","00:00:07:2F:02:89","8245114581084214","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:23:41 PM","05-May-2018 07:23:42 PM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22071","00:00:07:2F:02:89","8245114581084214","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:23:46 PM","05-May-2018 07:23:46 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22071","00:00:07:2F:02:89","8245114581084214","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:22:10 PM","05-May-2018 07:25:18 PM","0h 3m 8s","true","false","Westworld S2: 02 HD","HHD","Madison1",,"dgvlwi-18008","00:00:07:44:11:89","8245117310005343","1062","Not Assigned","V","12500000","1"
"05-May-2018 07:37:54 PM","05-May-2018 07:40:55 PM","0h 3m 1s","true","false","Scooby: When the Cicada Calls","FOD","Madison1",,"ftbgwi-25002","00:00:07:4A:68:1B","8245117650453160","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:45:44 PM","05-May-2018 07:45:45 PM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36023","00:00:07:2C:2B:3A","8245114190068350","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:45:53 PM","05-May-2018 07:45:53 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36023","00:00:07:2C:2B:3A","8245114190068350","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:46:00 PM","05-May-2018 07:46:00 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36023","00:00:07:2C:2B:3A","8245114190068350","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:46:22 PM","05-May-2018 07:46:22 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36023","00:00:07:2C:2B:3A","8245114190068350","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:44:49 PM","05-May-2018 07:47:55 PM","0h 3m 6s","true","false","Your Mother and Mine","FOD","Janesville1",,"beltwi-14014","00:00:10:76:BE:BF","8245116370445845","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:47:55 PM","05-May-2018 07:47:55 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36023","00:00:07:2C:2B:3A","8245114190068350","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:47:59 PM","05-May-2018 07:48:00 PM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36023","00:00:07:2C:2B:3A","8245114190068350","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:45:05 PM","05-May-2018 07:48:06 PM","0h 3m 1s","true","false","Little Women: LA S7 Ep07","FOD","Madison1",,"fmhewi-33042","00:00:00:EB:07:52","8245117680001062","1062","Not Assigned","V","3750000","1"
"05-May-2018 07:48:07 PM","05-May-2018 07:48:07 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36023","00:00:07:2C:2B:3A","8245114190068350","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:51:13 PM","05-May-2018 07:54:13 PM","0h 3m 0s","true","false","Genius 202","FOD","FondduLac1",,"shbywi-43031","00:00:04:A3:A7:96","8245111340008229","1062","Not Assigned","V","3120000","1"
"05-May-2018 07:54:50 PM","05-May-2018 07:57:54 PM","0h 3m 4s","true","false","Blue Bloods 04-27 HD","FHD","FondduLac1",,"wbndwi-51024","00:00:13:F4:F1:8B","8245110690003046","1062","Not Assigned","V","12500000","1"
"05-May-2018 07:46:25 PM","05-May-2018 08:07:51 PM","0h 21m 26s","true","false","Patriots Day HD","SOD","EauClaire1",,"onlawi-36059","00:00:05:03:DC:09","8245114000016136","1062","Not Assigned","V","12500000","2"
"05-May-2018 08:10:14 PM","05-May-2018 08:10:14 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36066","00:00:07:33:62:D0","8245114280883650","1062","Not Assigned","V","3120000","1"
"05-May-2018 08:10:16 PM","05-May-2018 08:10:16 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"onlawi-36066","00:00:07:33:62:D0","8245114280883650","1062","Not Assigned","V","3120000","1"
"05-May-2018 08:18:09 PM","05-May-2018 08:18:09 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"rclkwi-39023","00:00:03:9E:21:8F",,"1062","Not Assigned","V","3120000","1"
"05-May-2018 08:18:17 PM","05-May-2018 08:18:17 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"rclkwi-39023","00:00:03:9E:21:8F",,"1062","Not Assigned","V","3120000","1"
"05-May-2018 08:18:26 PM","05-May-2018 08:18:27 PM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"rclkwi-39023","00:00:03:9E:21:8F",,"1062","Not Assigned","V","3120000","1"
"05-May-2018 08:25:29 PM","05-May-2018 08:25:29 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"hywrwi-28003","00:00:00:21:3F:75","8245114960038039","1062","Not Assigned","V","3120000","1"
"05-May-2018 08:07:02 PM","05-May-2018 08:27:55 PM","0h 20m 53s","true","false","Patriots Day HD","SOD","EauClaire1",,"hywrwi-28010","00:00:07:30:57:65","8245114950045531","1062","Not Assigned","V","12500000","1"
"05-May-2018 08:28:04 PM","05-May-2018 08:30:49 PM","0h 2m 45s","true","false","Patriots Day HD","SOD","EauClaire1",,"hywrwi-28010","00:00:07:30:57:65","8245114950045531","1062","Not Assigned","V","12500000","17"
"05-May-2018 08:36:30 PM","05-May-2018 08:38:11 PM","0h 1m 41s","true","false","Patriots Day HD","SOD","EauClaire1",,"hywrwi-28010","00:00:07:30:57:65","8245114950045531","1062","Not Assigned","V","12500000","16"
"05-May-2018 08:38:26 PM","05-May-2018 08:40:31 PM","0h 2m 5s","true","false","Patriots Day HD","SOD","EauClaire1",,"hywrwi-28010","00:00:07:30:57:65","8245114950045531","1062","Not Assigned","V","12500000","11"
"05-May-2018 08:52:23 PM","05-May-2018 08:52:24 PM","0h 0m 1s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22074","00:00:06:DF:2E:E6","8245114581133839","1062","Not Assigned","V","3120000","1"
"05-May-2018 08:52:37 PM","05-May-2018 08:52:37 PM","0h 0m 0s","true","false","The Croods","FOD","EauClaire1",,"euclwi-22074","00:00:06:DF:2E:E6","8245114581133839","1062","Not Assigned","V","3120000","1"
